block_geoid00,county_fips_2000,place_fips_2000,cd106_2000,sldu_2000,sldl_2000,vtd_code_2000,vap_count_2000
370010204006005,001,09060,05,21,25,12N,43
370010204006006,001,09060,05,21,25,12N,34
370010204006007,001,09060,05,21,25,12N,40
370010204006008,001,09060,05,21,25,12N,41
370010204006009,001,09060,05,21,25,12N,23
370010204006010,001,09060,05,21,25,12N,58
370010204006011,001,09060,05,21,25,12N,78
370010204006012,001,09060,05,21,25,12N,35
370010205001000,001,26460,05,21,25,127,123
370010205001001,001,26460,05,21,25,127,0
370010205001002,001,99999,05,21,25,127,2
370010205001003,001,99999,05,21,25,127,72
370010205001004,001,99999,05,21,25,127,36
370010205001005,001,26460,05,21,25,127,0
370010205001006,001,26460,05,21,25,127,3
370010205001007,001,26460,05,21,25,127,65
370010205001008,001,26460,05,21,25,127,77
370010205001009,001,26460,05,21,25,127,29
370010205001010,001,26460,05,21,25,127,18
370010205001011,001,26460,05,21,25,035,0
370010205001012,001,26460,05,21,25,035,96
370010205001013,001,26460,05,21,25,035,6
370010205001014,001,26460,05,21,25,035,10
370010205001015,001,26460,05,21,25,127,43
370010205001016,001,26460,05,21,25,127,6
370010205001017,001,26460,05,21,25,127,18
370010205001018,001,09060,05,21,25,127,80
370010205001019,001,09060,05,21,25,127,24
370010205001020,001,26460,05,21,25,127,0
370010205001021,001,26460,05,21,25,127,4
370010205001022,001,99999,05,21,25,127,0
370010205001023,001,09060,05,21,25,127,0
370010205001024,001,09060,05,21,25,127,0
370010205001025,001,09060,05,21,25,127,0
370010205001026,001,09060,05,21,25,127,0
370010205001027,001,09060,05,21,25,127,0
370010205001028,001,09060,05,21,25,127,0
370010205001029,001,09060,05,21,25,127,0
370010205001030,001,09060,05,21,25,127,277
370010205001031,001,09060,05,21,25,127,13
370010205001032,001,99999,05,21,25,127,17
370010205001033,001,99999,05,21,25,127,12
370010205001034,001,99999,05,21,25,127,23
370010205001035,001,99999,05,21,25,127,14
370010205001036,001,09060,05,21,25,127,24
370010205001037,001,09060,05,21,25,127,0
370010205001038,001,09060,05,21,25,127,6
370010205001039,001,09060,05,21,25,127,8
